YEAR_MONTH;Adj Close;YEAR_MONTH_OG
2007-04-01;119.25;2007-02-01
2007-05-01;116.0;2007-03-01
2007-06-01;112.8499984741211;2007-04-01
2007-07-01;113.3499984741211;2007-05-01
2007-08-01;117.4000015258789;2007-06-01
2007-09-01;115.75;2007-07-01
2007-10-01;120.75;2007-08-01
2007-11-01;133.14999389648438;2007-09-01
2007-12-01;139.3000030517578;2007-10-01
2008-01-01;125.94999694824219;2007-11-01
2008-02-01;136.1999969482422;2007-12-01
2008-03-01;138.14999389648438;2008-01-01
2008-04-01;165.0;2008-02-01
2008-05-01;165.39999389648438;2008-03-01
2008-06-01;139.64999389648438;2008-04-01
2008-07-01;140.4499969482422;2008-05-01
2008-08-01;151.25;2008-06-01
2008-09-01;153.4499969482422;2008-07-01
2008-10-01;143.8000030517578;2008-08-01
2008-11-01;143.5;2008-09-01
2008-12-01;129.10000610351562;2008-10-01
2009-01-01;116.69999694824219;2008-11-01
2009-02-01;112.05000305175781;2008-12-01
2009-03-01;122.5;2009-01-01
2009-04-01;121.4000015258789;2009-02-01
2009-05-01;117.5;2009-03-01
2009-06-01;119.30000305175781;2009-04-01
2009-07-01;137.39999389648438;2009-05-01
2009-08-01;142.25;2009-06-01
2009-09-01;127.8499984741211;2009-07-01
2009-10-01;137.89999389648438;2009-08-01
2009-11-01;138.0500030517578;2009-09-01
2009-12-01;144.3000030517578;2009-10-01
2010-01-01;142.35000610351562;2009-11-01
2010-02-01;148.1999969482422;2009-12-01
2010-03-01;145.35000610351562;2010-01-01
2010-04-01;135.0500030517578;2010-02-01
2010-05-01;138.9499969482422;2010-03-01
2010-06-01;139.64999389648438;2010-04-01
2010-07-01;138.39999389648438;2010-05-01
2010-08-01;167.0;2010-06-01
2010-09-01;176.3000030517578;2010-07-01
2010-10-01;181.5500030517578;2010-08-01
2010-11-01;193.6999969482422;2010-09-01
2010-12-01;203.4499969482422;2010-10-01
2011-01-01;217.0500030517578;2010-11-01
2011-02-01;240.5;2010-12-01
2011-03-01;245.0;2011-01-01
2011-04-01;273.6000061035156;2011-02-01
2011-05-01;294.3999938964844;2011-03-01
2011-06-01;299.3500061035156;2011-04-01
2011-07-01;304.8999938964844;2011-05-01
2011-08-01;270.95001220703125;2011-06-01
2011-09-01;268.95001220703125;2011-07-01
2011-10-01;289.1000061035156;2011-08-01
2011-11-01;290.70001220703125;2011-09-01
2011-12-01;250.8000030517578;2011-10-01
2012-01-01;239.5;2011-11-01
2012-02-01;233.9499969482422;2011-12-01
2012-03-01;234.89999389648438;2012-01-01
2012-04-01;220.9499969482422;2012-02-01
2012-05-01;204.0;2012-03-01
2012-06-01;186.1999969482422;2012-04-01
2012-07-01;182.85000610351562;2012-05-01
2012-08-01;170.10000610351562;2012-06-01
2012-09-01;188.1999969482422;2012-07-01
2012-10-01;175.5;2012-08-01
2012-11-01;180.8000030517578;2012-09-01
2012-12-01;183.64999389648438;2012-10-01
2013-01-01;154.6999969482422;2012-11-01
2013-02-01;148.3000030517578;2012-12-01
2013-03-01;156.3000030517578;2013-01-01
2013-04-01;147.9499969482422;2013-02-01
2013-05-01;145.9499969482422;2013-03-01
2013-06-01;142.5;2013-04-01
2013-07-01;145.8000030517578;2013-05-01
2013-08-01;129.4499969482422;2013-06-01
2013-09-01;127.55000305175781;2013-07-01
2013-10-01;123.44999694824219;2013-08-01
2013-11-01;117.8499984741211;2013-09-01
2013-12-01;117.0;2013-10-01
2014-01-01;110.44999694824219;2013-11-01
2014-02-01;116.3499984741211;2013-12-01
2014-03-01;125.19999694824219;2014-01-01
2014-04-01;179.8000030517578;2014-02-01
2014-05-01;205.0500030517578;2014-03-01
2014-06-01;212.4499969482422;2014-04-01
2014-07-01;202.39999389648438;2014-05-01
2014-08-01;179.9499969482422;2014-06-01
2014-09-01;195.0500030517578;2014-07-01
2014-10-01;195.75;2014-08-01
2014-11-01;204.4499969482422;2014-09-01
2014-12-01;221.89999389648438;2014-10-01
2015-01-01;197.85000610351562;2014-11-01
2015-02-01;189.35000610351562;2014-12-01
2015-03-01;180.0500030517578;2015-01-01
2015-04-01;167.60000610351562;2015-02-01
2015-05-01;143.35000610351562;2015-03-01
2015-06-01;146.1999969482422;2015-04-01
2015-07-01;141.64999389648438;2015-05-01
2015-08-01;137.35000610351562;2015-06-01
2015-09-01;129.85000610351562;2015-07-01
2015-10-01;137.5;2015-08-01
2015-11-01;122.69999694824219;2015-09-01
2015-12-01;134.64999389648438;2015-10-01
2016-01-01;122.9000015258789;2015-11-01
2016-02-01;126.69999694824219;2015-12-01
2016-03-01;123.9000015258789;2016-01-01
2016-04-01;123.19999694824219;2016-02-01
2016-05-01;134.64999389648438;2016-03-01
2016-06-01;127.25;2016-04-01
2016-07-01;132.6999969482422;2016-05-01
2016-08-01;144.10000610351562;2016-06-01
2016-09-01;150.3000030517578;2016-07-01
2016-10-01;145.89999389648438;2016-08-01
2016-11-01;156.5500030517578;2016-09-01
2016-12-01;165.5;2016-10-01
2017-01-01;174.35000610351562;2016-11-01
2017-02-01;144.5500030517578;2016-12-01
2017-03-01;155.39999389648438;2017-01-01
2017-04-01;150.35000610351562;2017-02-01
2017-05-01;144.0;2017-03-01
2017-06-01;142.89999389648438;2017-04-01
2017-07-01;135.0;2017-05-01
2017-08-01;128.4499969482422;2017-06-01
2017-09-01;139.25;2017-07-01
2017-10-01;142.75;2017-08-01
2017-11-01;140.0;2017-09-01
2017-12-01;131.0;2017-10-01
2018-01-01;129.60000610351562;2017-11-01
2018-02-01;127.55000305175781;2017-12-01
2018-03-01;130.1999969482422;2018-01-01
2018-04-01;123.30000305175781;2018-02-01
2018-05-01;122.44999694824219;2018-03-01
2018-06-01;120.6500015258789;2018-04-01
2018-07-01;123.69999694824219;2018-05-01
2018-08-01;122.75;2018-06-01
2018-09-01;112.19999694824219;2018-07-01
2018-10-01;109.05000305175781;2018-08-01
2018-11-01;102.44999694824219;2018-09-01
2018-12-01;122.55000305175781;2018-10-01
2019-01-01;120.05000305175781;2018-11-01
2019-02-01;103.9000015258789;2018-12-01
2019-03-01;106.80000305175781;2019-01-01
2019-04-01;105.5999984741211;2019-02-01
2019-05-01;96.94999694824219;2019-03-01
2019-06-01;95.3499984741211;2019-04-01
2019-07-01;104.5999984741211;2019-05-01
2019-08-01;108.25;2019-06-01
2019-09-01;112.25;2019-07-01
2019-10-01;98.1500015258789;2019-08-01
2019-11-01;101.1500015258789;2019-09-01
2019-12-01;102.05000305175781;2019-10-01
2020-01-01;118.55000305175781;2019-11-01
2020-02-01;135.89999389648438;2019-12-01
2020-03-01;127.0999984741211;2020-01-01
2020-04-01;110.0999984741211;2020-02-01
2020-05-01;129.9499969482422;2020-03-01
2020-06-01;120.19999694824219;2020-04-01
2020-07-01;110.0999984741211;2020-05-01
2020-08-01;100.05000305175781;2020-06-01
2020-09-01;118.94999694824219;2020-07-01
2020-10-01;129.8000030517578;2020-08-01
2020-11-01;134.8000030517578;2020-09-01
2020-12-01;111.55000305175781;2020-10-01
2021-01-01;121.69999694824219;2020-11-01
2021-02-01;128.25;2020-12-01
2021-03-01;128.14999389648438;2021-01-01
