YEAR_MONTH;PRECIPITACAO TOTAL HORARIO (mm);PRESSAO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);TEMPERATURA MINIMA NA HORA ANT. (AUT) (C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (C);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSAO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (W/m2);TEMPERATURA DO AR - BULBO SECO, HORARIA (C);TEMPERATURA DO PONTO DE ORVALHO (C);TEMPERATURA MAXIMA NA HORA ANT. (AUT) (C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIRECAO HORARIA (gr);VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);YEAR_MONTH_OG
2007-02-01;2105.6;875.1;12.1;8.1;23.0;1019.1;1019.1;4274.0;35.6;26.3;36.3;26.5;100.0;100.0;360.0;21.0;11.2;2007-02-01
2007-03-01;1322.8;875.6;11.9;5.0;22.0;1018.9;1019.0;4247.5;36.9;26.0;37.4;26.4;100.0;100.0;360.0;20.9;11.3;2007-03-01
2007-04-01;1554.0;875.2;8.1;3.3;26.0;1026.5;1026.6;3638.0;34.9;25.7;35.4;26.3;100.0;100.0;360.0;21.7;10.0;2007-04-01
2007-05-01;1045.0;874.8;8.1;2.8;15.0;1027.1;1027.2;3177.8;33.2;23.2;33.6;23.5;100.0;100.0;360.0;24.9;11.1;2007-05-01
2007-06-01;122.39999999999999;877.7;8.1;2.8;22.0;1028.9;1029.2;2806.7;31.5;21.5;31.9;22.0;100.0;100.0;360.0;20.8;11.2;2007-06-01
2007-07-01;1609.8;870.4;8.1;2.8;20.0;1033.5;1033.6;5850.2;33.5;24.4;34.6;24.8;100.0;100.0;360.0;23.9;12.9;2007-07-01
2007-08-01;114.8;875.5;8.1;2.8;13.0;1029.5;1029.6;5356.9;36.7;23.5;37.1;25.5;100.0;100.0;360.0;18.1;12.0;2007-08-01
2007-09-01;343.8;874.6;8.3;2.8;13.0;1028.7;1028.7;3621.4;38.6;23.7;38.8;24.2;100.0;100.0;360.0;20.9;13.4;2007-09-01
2007-10-01;1729.6;874.3;8.6;2.8;12.0;1026.1;1026.1;5916.6;38.7;24.5;39.0;25.1;100.0;100.0;360.0;24.6;12.5;2007-10-01
2007-11-01;3526.2;869.0;8.2;2.8;15.0;1024.1;1024.4;4330.2;35.9;25.5;35.9;26.3;100.0;100.0;360.0;25.0;14.1;2007-11-01
